id,name,description,timesaving,toolId
57,SFPR1-7 v1.2,Generate cases for SFPR1-7 form type for Print to Mail,,10
58,IFP Letter 1 v2,Generate cases for IFP Letter 1 form type for Print to Mail,,10
59,IFP Letter 2 v2,Generate cases for IFP Letter 2 form type for Print to Mail,,10
60,TC603U v5,Generate cases for IFP Letter 2 form type for Print to Mail,,10
61,DVT - Flag check,Checks the field matches the specified flag,,9
62,DVT - Fixed Field Size Check,Checks the field is the exact length specified,,9
63,DVT - Field Count,Checks each line of data has the correct amount of fields/delimiters,,9
64,DVT - Automatic Epid Validation,Automatically validates the data file against the specified EPID,,9
65,Detokenization Query Generation,Generates SQL Detokenization Queries,,11
66,Decision Service,Process submissions through decision service,,12
67,RTI XML generator,Create XML file,,2
68,CDS - Risk,,,13
69,CDS - Declarations,,,13
70,DVT - Fixed Length Delimited Validation,Automatically validates a fixed length delimited file based upon the rules set in the configuration file,,9
71,DVT - Mandatory If,Check that a field contains data if another field is present,,9
72,DVT - Present Only If,Checks the field contains data only if another field is present,,9
73,DVT - Prohibited If,Checks the field does not contain data if another field is present,,9
74,DVT - Regular Expression,Validates a field against a regular expression,,9
75,Verify Successful Transmission of files from UTM to TransferMicroService,Trigger UTM / TransferMicroService workflow,,14
76,DVT - Compound Key,Checks for duplicate groups of fields,,9
77,DVT - Date/Timestamp Validation,Validates a field against a given Date/Time format,,9
78,JAC - Create Epic,Create Epic,,15
79,JAC - Create stories,Create stories,,15
80,JAC - Create Tasks,Create Tasks,,15
81,RCM,RCM,,16
82,JAC - Create Automated Tasks,Create Automated Tasks,,15
83,25FQ,Print to mail 25FQ form,,10
84,CTY50,Print to mail CTY50 form,,10
85,CTY51,Print to mail CTY51 form,,10
86,CTY52,Print to mail CTY52 form,,10
87,SL1,Print to mail SL1 form,,10
88,SL2,Print to mail SL2 form,,10
89,Print to mail Comparison,Print to mail Comparison,,17
90,ITSA Acceptance Test Framework,ITSA Acceptance Test Framework,,18
91,Launch VME,Launch VME,,19
92,Set Date VME,Set Date VME,,19
93,Start Services VME,Start Services VME,,19
94,Launch SA,Launch SA,,19
95,Set Up Individual Taxpayer,Set Up Individual Taxpayer,,19
96,Set Up Partnership, Set Up Partnership,,19
97,Set up Trust,Set up Trust,,19
98,Add Partner,Add Partner,,19
99,Record Date of Clerical Issue,Record Date of Clerical Issue,,19
100,Create Return Charge,Create Return Charge,,19
101,View Statement Evidence,View Statement Evidence,,19
102,Return Summary Evidence,Return Summary Evidence,,19
103,Batch Job,Batch Job,,19
104,CDS - Registration & Subscription,,,20
105,XML File validator,XML File validator,,18
106,VAT Acceptance Test Framework,Automates Acceptance Tests for VAT,,13
107,CDS - Inventory Linking,,,20
